"456001945,2025-02-18T22:24:56Z,1403/12/01 01:54,Naser4646,naser4698,twit,#وسدید \nارزش دلاری مارکت وسدید رسید به ۶۵ میلیون دلار. \nفقط ماهشهر ۵۰ میلیون دلار مانده طلب از بانک پاسارگاد داره....مسخره کردن دیگه"
"456001934,2025-02-18T22:24:07Z,1403/12/01 01:54,ارشک ا,arashkkhan,quote,وارد شد که امروز بفروشه🤣🤣🤣"
"456001884,2025-02-18T22:17:18Z,1403/12/01 01:47,Mm,partybaziboors,twit,#قجام \nبا توجه به سود انباشته پارسال ، پنجاه و دو تومن به ازای هر سهم . و با توجه به سی و سه تومن سود شش ماهه ، تا پایان دوره شش ماهه در کل به ازای هر سهم هشتاد و پنج تومن سود انباشته داره شرکت .\nالبته حسابرسی نشده سی و نه تومن بود ولی بازم دمشون گرم هر کی کوچکترین تاثیری در سودسازی شرکت داشته ."
"456001880,2025-02-18T22:17:17Z,1403/12/01 01:47,صابر,saberbest2024,quote,چه مشکلی پیدا کرده؟ در چه موضوعی؟"
"456001877,2025-02-18T22:17:08Z,1403/12/01 01:47,محمد صالحی,salehiiii,twit,#قپیرا گزارش فوق العاده ای داده. و جالبه برام مثل قندیهای دیگه گزارش نمیده سود ناخالص شکر و تفاله خشک هر دو ۲۳% هست. \nمقداری از پارسال ذخیره شکر داشته احتمالن چون  ۶ماهه دوم فروش۲۸هزار تن شکر و ۱۵۰۰تن تفاله براورد شده. \nحالا اگه باهمین قیمت مصوب بفروشه سود حد اقل۱۵۰تومنی داره. اگه نرخ جدید اعلام بشه و تمام یا مقداری از این ۲۸هزار تن رو با نرخ جدید بفروشه سود هنگفتی برمیداره. \nشرکتهای قندی رو برسی میکردم قند اصفهان برای سال بعد نرخ۴۷هزار تومنی رو پیشبینی کرده! \nاگر همچین اتفاقی بیفته و قپیرا ذخیره شکر رو با نرخ جدید بفروشه تاثیرش رو قیمت سهامش تا۱۰۰% هم محتمل هست.\nبعد امروز سهامش منفی معامله میشد. سفارش خرید من به راحتی انجام شد.\nقیمت سهم ۷۵۰ تومان!"
"456001872,2025-02-18T22:16:33Z,1403/12/01 01:46,Mohsen,mohsemjoloni,twit,#رتاپ بر هر چی حقوقی این سهم لعنت که تو صف فروش هم عرضه میکنه ، بر شرفت لعنت"
"456001865,2025-02-18T22:15:29Z,1403/12/01 01:45,داود,market1,twit,#دی امروز حدود 180M  تومن دیگر خریدیم و میانگین خرید رسید به 65  تومن .. دیگه سهم هیچ ریسکی ندارد .."
"456001858,2025-02-18T22:11:29Z,1403/12/01 01:41,یا علی مدد,shsesa,twit,#شپلی ما خیلی به این حرفهای ... اهمیت نخواهیم داد. به دلیل تجربه ای که داریم. فارغ از تکنیکال و ... فقط داریم جم میکنیم. همانطور که قبلا گفتم منتظریم نقاط 50 ، 40 ، 30 رو افراد ... رقم بزنن. از 120 تومان جم کردیم و تا نقطه 30 تومان ادامه خواهیم داد. قابل توجه بازیگران و نمایندگان بازیگران در این پیج. ضمنا الگوی سر و شانه معکوس تشکیل شده و درسته.+++++"
"456001854,2025-02-18T22:10:33Z,1403/12/01 01:40,فروردین,farvardin98,twit,#کبافق خ ف ش و دیگه بخر بخر نکن انقد بدبخت کردی ملتو"
"456001847,2025-02-18T22:08:20Z,1403/12/01 01:38,الگوریتم,xalireza,quote,این توییت من مربوط به تاریخ \n1403/4/9 می باشد\nاون موقع فکر کنم خبری از افزایش سرمایه نبود \nو این همچنان میره تا به ۲۰۰۰ تومن برسه"
