"455240386,2025-01-19T22:25:49Z,1403/11/01 01:55,مهزیار دوست,mdmmdm,quote,با سلام دوستان خواستم اینجا از آقای نعیم بابت ارزنده معرفی کردن سهم اهرم و اینکه گفته بودند اول راهشه تشکر کنم چرا که از توییت ایشان از حدودا سه ماه پیش تاکنون صد در صد اهرم افزایش قیمت داشته است.\nتوضیح اینکه بازنشر توییت ایشان مربوط به حدودا سه ماه پیش می باشد\nواینکه : «من لم یشکر المخلوق لم یشکر الخالق» هر کس در مقابل احسان و نیکی بندگان خداوند شکرگزاری نکند خدا را شکر نگفته است"
"455240365,2025-01-19T22:20:51Z,1403/11/01 01:50,در ارتباط با آینده,mrarash,quote,در بازار رویا فروشها تو راه درست را انتخاب کن و هدایت گر نابینایان باش \nاز کتاب در ارتباط با آینده"
"455240361,2025-01-19T22:20:37Z,1403/11/01 01:50,دکتر مرادی اتحاد,moradi51,quote,کسانی که \n\nتوسط حقوقی\n\nپیاده شده اند\n\nمنتظر ریزشند\n\nجا می مانند\n\nباهم می بینیم"
"455240352,2025-01-19T22:18:50Z,1403/11/01 01:48,بورس بورس,onenabeghe,twit,#شپنا. لطفاً به گزارشات دقت کنید شپنا ۳ ماهه اول ۸۲ ریال سود ساخته ۳ ماهه دوم ۹۱ ریال در مجموع ۶ ماهه ۱۷۳ ریال و ۳ ماهه سوم ۲۷۲ ریال و در مجموع ۹ ماهه ۴۴۵ ریال به نظرم روند سود سازی امسالش رو به بهبوده   و می‌تونه تا آخر سال ۷۰۰ یا ۷۵۰ ریال سود بسازه پس مفت سهام ارزنده تون را بفروشید."
"455240350,2025-01-19T22:18:48Z,1403/11/01 01:48,hesamebrahimi,hesam49,quote,مسیر مدنظرمان"
"455240343,2025-01-19T22:18:24Z,1403/11/01 01:48,hesamebrahimi,hesam49,quote,🙏🙏ممنون"
"455240339,2025-01-19T22:18:19Z,1403/11/01 01:48, King Midas,abcabckhodro,quote,پتروشیمی های بزرگ رو جا انداختی!\nبا نرخ دلار پیش از راه اندازی مرکز مبادله :\n      شپدیس : ۴۰٪ افزایش سود هر سهم\n      نوری : ۲۸٪ افزایش سود هر سهم\n      بوعلی هم بد نبوده، ۱۲٪ افزایش سود هر سهم"
"455240336,2025-01-19T22:18:18Z,1403/11/01 01:48,دکتر مرادی اتحاد,moradi51,quote,باز هم\n\nامثال کسانی که عدد تعیین می کنند \n\nبرای ریزش جا می مانند\n\nمنتظر خرید نباشد\n\nفقط نگاه کنید"
"455237957,2025-01-19T19:45:49Z,1403/10/30 23:15,hesamebrahimi,hesam49,retwit,تکنیکی هم عالی عمل کرده\nموج یک صعودی قفلی از 598 اومد تا 905 تومان\nبعد اصلاح 3 موجی زیبا موج دو از 905 تا 785 سه موج ریز ( پولبک به محدوده تقاضا هم هست)\nو استارت موج 3 صعودی عالی با رشد 100 درصدی حوالی 1600 تومان"
"455240322,2025-01-19T22:15:04Z,1403/11/01 01:45,مهزیار دوست,mdmmdm,quote,با سلام خدمت دوستان می خواستم از آقای نعیم تشکر کنم برای ارزنده معرفی کردن سهم اهرم از حدودا  سه ماه پیش تا الان.\nچرا که می بینم از قیمت 1400 تومان به 2800 رسیده .\nچرا که داریم :«من لم یشکر المخلوق لم یشکر الخالق» هر کس در مقابل احسان و نیکی بندگان خداوند شکرگزاری نکند خدا را شکر نگفته است.\nلازم به توضیح است توییت ایشان مربوط به حودا سه ماه پیش را باز نشر کرده ام"
