"455098675,2025-01-13T21:59:19Z,1403/10/25 01:29,صبور,saborjan,twit,#فجر روزمرد به مردترین سهم بازار ایران فجرکاشان تبریک و تهنیت 💙💙💙👑👑👑💐💐💐🧿🧿🧿"
"455098652,2025-01-13T21:58:02Z,1403/10/25 01:28,محمد,rhyton,quote,#شاخص_بورس \n5 سال ثبات اقتصادی و تورم تک رقمی داشتیم\nپس از برجام حدود 400 هواپیما خریداری شد و تعدادی هم تحویل شد که برای تحویل همین تعداد هم دلواپسان سنگ اندازی ها کردند.\nسیتروئن سایپا کاشان را خرید و سیتروئن C3 را در آن تولید کرد و به قیمت کمتر از 100 میلیون تحویل ملت داد.\nپژو در ایرانخودرو سرمایه گذاری کرد که نتیجه آن پلتفرم تارا و ریرا است.ایرانخودرو پژو 2008 را به قیمت کمتر از 100 میلیون تحویل ملت می داد!!!!\nدر کرمان خودرو هیوندای تولید می شد.\nکامیونهای اسکانیا در ماموت خودرو و ولوو در سایپا دیزل به وفور تولید و با شرایط اقساطی و به قیمت پایین فروخته می شد.\nزیمنس به ایران برگشت و فعال شد\nتوتال و بسیاری از شرکت های بزرگ نفت و گاز به ایران بازگشتند\nپس از برجام تحریم خودروسازان لغو شد و شما می توانستید برای مثال رنو تالیسمان را به قیمت 170.000.000 تومان به صورت اقساطی بخرید.\nحتی دیجیکالا خودرو می فروخت و درب منزل تحویل می داد.کاملا به خاطر دارم تویوتا پریوس به قیمت 147.000.000 و هیوندای سوناتا را 140.000.000 تومان می فروخت!!!\nسه سال اقدامات پایدارچی های مستقر در سازمان بورس کمر ملت را شکست و همچنان در حال سنگ اندازی هستند."
"455098649,2025-01-13T21:57:55Z,1403/10/25 01:27,لپ روان بازار,ravanbazar,twit,#توریل این سهم همین الان هاست تا عید یکهو چشم باز کنی ببینی شده ۱۵۰۰ و ۲۰۰۰و ....بالاخره که افزایش داره و فروش دارایی و زمین و ... ما هستیم باهاتان اصفهانی ها"
"455098624,2025-01-13T21:54:20Z,1403/10/25 01:24,MOHA M MAD,mhbch,twit,#شکف #شتولی \nhttp://www.sedayezanjannews.ir/NewsShow.aspx?nId=13925"
"455093214,2025-01-13T16:13:35Z,1403/10/24 19:43,arastoo,masteraccount,retwit,#خودرو  داستان واگذاری خودروییها جدی و قطعی شد .\nرنجبر زاده ، عضو کمیسیون صنایع و معادن در جلسه با ریس جمهور آقای پزشکیان موضوع مطرح شده و ریس جمهور هم موافقت خود را با واگذاری اعلام کرد .🌺🌺"
"455098614,2025-01-13T21:53:26Z,1403/10/25 01:23,hj1676,hoshang49,quote,درود .\nمتاسفانه پایدارچی ها زندگی مردم را به گروگان گرفته اند . نمونه بارز:۲۴ دیماه نطق غیر مودبانه فلان آقا که با ۵درصد رای وارد مجلس  شده و با شارلاتان بازی برای افزایش تحریم و ظلم به مردم داد و فریاد می زند . کجایند کسانی که تحریم را نعمت می دانستند؟! لطفاً چند مورد از نعمت ها را لیست کنند تا مردم از نزدیک با این لیست خدمات آشنا شوند! . \nاما در عوض آن : حاصل برجام خودرو ۵ستاره اروپایی پژو ۲۰۰۸ بود که در تیرماه ۹۶ به قیمت نهایی ۹۵ میلیون عرضه شد . اما به همت ترامپ آمریکا و ترامپهای داخلی که برای نابودی برجام تلاش نمودند . این خودرو در حال حاضر بیش از ۳ میلیارد تومان است . \nخداوند کسانی را که به مردم ظلم نمودند ( در هر لباس و هر جناحی) به راه راست هدایت نماید"
"455098612,2025-01-13T21:53:15Z,1403/10/25 01:23,علی,aliakbarkarimi,twit,وپارس .. دوستان زیر نظر بگیریدpe سهم ۵۷۶ ولی هزینه سر به سر خیلی کم هست  ۴۴ ریال هست کلا ..برا اینا که pe براشون مهم هست pe اصلا مهم نیست هزینه سر به سر مهم هست کم باشه ... این بازار حتما باید خیلی هاا خبر های رانتی داشته باشن ؟؟؟نماد وپارس را  طبق موج شماری هاا روی ۱۶۰ خریدم پر قدرت ولی  چند روز  پیش روی ۳۰۰ امدم ردش کنم  تو سقف سقف پر ریسک  سال دیدم اول صبح  تو مثبت ۱۶ تا کد ۴۰۰ مییلون  سهم خریدن و بعدش هم به سف خرید نشست که کلا ۴۹۸ میلیون حجم خورد تو سقف سقف چکش کنید ..  نگهش داشتم ببینم این ۴۰۰ میلیون خرید با ۱۶ کد حتمااا خبر رانتی دارن که همچین ریسگی کردن تو سقف و ۱۰۰ درصد  نیومدن بخرن  چند روزه خالی کنن ..بازار ما این هست خبر رانتی باید داشته باشن که تو سقف سقف با ۱۶ تا کد بیان ۴۰۰ میلیون سهم بخرن و یک هفته  سهم هم تو سقف سقف پر قدرت ادامه بده تازه با حجم های خرید های بالاتر"
"455098605,2025-01-13T21:52:49Z,1403/10/25 01:22,داود,market1,twit,#شاخص_بورس  روز مرد بر تمام مردان نیک و سخت کوش و دستهای پینه بسته روزگار مبارک باد ..."
"455098574,2025-01-13T21:50:27Z,1403/10/25 01:20,Sunrise1404,sunrise1404,twit,#نخریس 🔴🔴 هر کسی روی این سهم نوسان گرفته و میگیره انشالله خودش و خانواده و عزیزاش خیر دنیا و آخرت را نبینن. طی ۱ ماه اخیر این سهم از ۲۱۰۰ به ۲۴۰۰ رفته و از ۲۴۰۰ به ۲۱۰۰ ریخته. مجدد از ۲۱۰۰ تا ۲۳۰۰ رفته و از ۲۳۰۰ تا ۲۰۰۰ ریخته. باز از ۲۰۰۰ تا ۲۳۰۰ رفته و مجدد تا ۲۲۰۰ اومده پایین. شما اسم اینکار در یک بازار صعودی چه میزارید؟ من میگم نطفه خراب . هر کسی در این نوسانات فعالیت میکند نطفه اش خراب است 🤔"
"455098563,2025-01-13T21:49:48Z,1403/10/25 01:19,M.Naghdi,mnaghdi,quote,#وبملت \nخضریان غلط کرده با کوچک زاده و بقیه هم آ خ ورهاشون. انشالله به زودی هر دوشون را به یه خیش ببندیم و بدیم کشاورزهای سیستان و خوزستان.\nهنوز باورشون نشده که دورشون به سر اومده و همین روزها به ز ب اله دان تاریخ ریخته خواهند شد.\nخیانت و زیان اینها به این مملکت به گرد آمریکا و روسیه و چنگیز مغول هم نمیرسه.\nرسوا بشند به حق عدالت خداوند"
